espacamento;clone;repeticao;Arvoresh;altura;dap
E1;C1;R1;5000;11,6;11,21
E1;C1;R1;5000;11,64;9,49
E1;C1;R1;5000;11,11;10,63
E1;C1;R1;5000;14,92;12,1
E1;C1;R1;5000;16,32;10,84
E1;C1;R2;5000;14,29;13,17
E1;C1;R2;5000;11,4;10,1
E1;C1;R2;5000;12,66;11,32
E1;C1;R2;5000;15,01;12,12
E1;C1;R2;5000;12,52;9,02
E1;C2;R1;5000;14;10,31
E1;C2;R1;5000;8,51;7,4
E1;C2;R1;5000;10,68;8,41
E1;C2;R1;5000;8,5;7,13
E1;C2;R1;5000;11,77;9,39
E1;C2;R2;5000;9,1;8,84
E1;C2;R2;5000;7,97;6,24
E1;C2;R2;5000;10,09;8,07
E1;C2;R2;5000;11,6;9,55
E1;C2;R2;5000;12,27;8,74
E2;C1;R1;2500;16,37;14,66
E2;C1;R1;2500;16,67;13,37
E2;C1;R1;2500;16,01;14,25
E2;C1;R1;2500;16,99;14,09
E2;C1;R1;2500;15,65;13,47
E2;C1;R2;2500;14,46;13,5
E2;C1;R2;2500;17,79;14,31
E2;C1;R2;2500;16,27;14,42
E2;C1;R2;2500;15,47;14,26
E2;C1;R2;2500;14,3;14
E2;C2;R1;2500;17,13;10,91
E2;C2;R1;2500;15,65;10,76
E2;C2;R1;2500;14,76;11,05
E2;C2;R1;2500;14,11;10,95
E2;C2;R1;2500;12,6;11,22
E2;C2;R2;2500;15,41;11,21
E2;C2;R2;2500;7,91;6,87
E2;C2;R2;2500;10,98;10,91
E2;C2;R2;2500;9,04;9,81
E2;C2;R2;2500;9,89;8,16
E3;C1;R1;1667;16,56;12,62
E3;C1;R1;1667;15,66;12,66
E3;C1;R1;1667;17,43;12,33
E3;C1;R1;1667;13,92;12,73
E3;C1;R1;1667;17,28;11,66
E3;C1;R2;1667;12,58;12,75
E3;C1;R2;1667;15,58;12,9
E3;C1;R2;1667;13,4;13,09
E3;C1;R2;1667;13,08;12,46
E3;C1;R2;1667;14,79;13,73
E3;C2;R1;1667;13,84;12,39
E3;C2;R1;1667;14,46;11,84
E3;C2;R1;1667;15,82;12,03
E3;C2;R1;1667;12,67;12,16
E3;C2;R1;1667;11,84;11,8
E3;C2;R2;1667;13,01;11,67
E3;C2;R2;1667;13,96;11,9
E3;C2;R2;1667;14,77;12,06
E3;C2;R2;1667;11,75;10,12
E3;C2;R2;1667;14,05;11,98
E4;C1;R1;1250;16;14,97
E4;C1;R1;1250;17,41;14,87
E4;C1;R1;1250;15,31;14,11
E4;C1;R1;1250;14,66;12,89
E4;C1;R1;1250;19,52;14,91
E4;C1;R2;1250;16,21;15,21
E4;C1;R2;1250;16,38;14,96
E4;C1;R2;1250;18,43;15,01
E4;C1;R2;1250;18,38;14,92
E4;C1;R2;1250;15,21;15,03
E4;C2;R1;1250;14,9;12,97
E4;C2;R1;1250;14,64;12,98
E4;C2;R1;1250;12,72;13,22
E4;C2;R1;1250;16,92;12,89
E4;C2;R1;1250;15,08;13,06
E4;C2;R2;1250;15,25;13,1
E4;C2;R2;1250;14,79;12,96
E4;C2;R2;1250;15,75;12,77
E4;C2;R2;1250;13,7;12,06
E4;C2;R2;1250;16,35;13,07
